589_Male_Rep_2	SAMN09738909
59_Female_Rep_1	SAMN09738908
59_Female_Rep_2	SAMN09738907
59_Male_Rep_1	SAMN09738906
59_Male_Rep_2	SAMN09738905
595_Female_Rep_1	SAMN09738904
595_Female_Rep_2	SAMN09738903
595_Male_Rep_1	SAMN09738902
595_Male_Rep_2	SAMN09738901
596_Female_Rep_1	SAMN09738900
596_Female_Rep_2	SAMN09738899
596_Male_Rep_1	SAMN09738898
596_Male_Rep_2	SAMN09738897
627_Female_Rep_1	SAMN09738896
627_Female_Rep_2	SAMN09738895
627_Male_Rep_1	SAMN09738894
627_Male_Rep_2	SAMN09738893
584_Male_Rep_1	SAMN09738892
639_Female_Rep_2	SAMN09738891
639_Male_Rep_1	SAMN09738890
639_Male_Rep_2	SAMN09738889
642_Female_Rep_1	SAMN09738888
642_Female_Rep_2	SAMN09738887
642_Male_Rep_1	SAMN09738886
642_Male_Rep_2	SAMN09738885
69_Female_Rep_1	SAMN09738884
69_Female_Rep_2	SAMN09738883
69_Male_Rep_1	SAMN09738882
69_Male_Rep_2	SAMN09738881
703_Female_Rep_1	SAMN09738880
703_Female_Rep_2	SAMN09738879
703_Male_Rep_1	SAMN09738878
703_Male_Rep_2	SAMN09738877
705_Female_Rep_1	SAMN09738876
705_Female_Rep_2	SAMN09738875
705_Male_Rep_1	SAMN09738874
705_Male_Rep_2	SAMN09738873
707_Female_Rep_1	SAMN09738872
707_Female_Rep_2	SAMN09738871
707_Male_Rep_1	SAMN09738870
707_Male_Rep_2	SAMN09738869
712_Female_Rep_1	SAMN09738868
712_Female_Rep_2	SAMN09738867
712_Male_Rep_1	SAMN09738866
535_Female_Rep_1	SAMN09738865
535_Female_Rep_2	SAMN09738864
535_Male_Rep_1	SAMN09738863
535_Male_Rep_2	SAMN09738862
555_Female_Rep_1	SAMN09738861
551_Female_Rep_1	SAMN09738860
551_Female_Rep_2	SAMN09738859
551_Male_Rep_1	SAMN09738858
551_Male_Rep_2	SAMN09738857
555_Female_Rep_2	SAMN09738856
555_Male_Rep_1	SAMN09738855
555_Male_Rep_2	SAMN09738854
559_Female_Rep_1	SAMN09738853
559_Female_Rep_2	SAMN09738852
559_Male_Rep_1	SAMN09738851
559_Male_Rep_2	SAMN09738850
563_Female_Rep_1	SAMN09738849
563_Female_Rep_2	SAMN09738848
563_Male_Rep_1	SAMN09738847
563_Male_Rep_2	SAMN09738846
566_Female_Rep_1	SAMN09738845
566_Female_Rep_2	SAMN09738844
566_Male_Rep_1	SAMN09738843
566_Male_Rep_2	SAMN09738842
57_Female_Rep_1	SAMN09738841
57_Female_Rep_2	SAMN09738840
57_Male_Rep_1	SAMN09738839
